popularity_rank,canonical_key,display_name,source_breadth,in_debian_popcon,in_homebrew,in_vcpkg,in_conan,debian_installed_max,debian_regular_use_max,debian_installed_sum,debian_regular_use_sum,homebrew_installs_365d,homebrew_requested_365d,homebrew_reverse_dependencies,vcpkg_reverse_dependencies,conan_literal_reverse_dependencies,popularity_proxy_raw,popularity_proxy_share_pct,cumulative_popularity_proxy_pct
1,openssl,openssl,4,1,1,1,1,280848,241114,645319,435721,5822471,888964,619,116,148,0.026561318074,3.38859504,3.388595
2,cmake,cmake,3,1,1,0,1,34720,5841,70033,9049,1788904,1299641,1,0,267,0.022780685722,2.9062759,6.294871
3,zlib,zlib,4,1,1,1,1,281693,264406,445377,302816,657368,126088,0,188,177,0.017961095112,2.2914103,8.586281
4,pkgconf,pkgconf,4,1,1,1,1,58054,10711,230417,24179,1854548,874218,24,11,136,0.013707722295,1.74878068,10.335062
5,ffmpeg,ffmpeg,4,1,1,1,1,93633,45163,847517,196137,2007854,1759323,80,5,8,0.010636984139,1.35702722,11.692089
6,glib,glib,3,0,1,1,1,0,0,0,0,2525522,409548,333,47,36,0.009568631938,1.22073079,12.91282
7,boost,boost,3,0,1,1,1,0,0,0,0,413645,148532,101,1,111,0.008634383639,1.10154283,14.014363
8,gettext,gettext,4,1,1,1,1,281304,118037,405887,139793,1988124,118476,397,40,13,0.008186530649,1.0444074,15.05877
9,openjdk,openjdk,2,0,1,0,1,0,0,0,0,1546633,1008972,287,0,3,0.007811636937,0.99657984,16.05535
10,libpng,libpng,3,0,1,1,1,0,0,0,0,1857222,110195,213,39,52,0.007649298371,0.97586929,17.031219
11,zstd,zstd,3,0,1,1,1,0,0,0,0,2792863,109234,200,28,47,0.007488375404,0.95533933,17.986559
12,libtool,libtool,3,1,1,0,1,197733,134496,304970,143516,648613,113600,36,0,72,0.006543460908,0.83479062,18.821349
13,freetype,freetype,4,1,1,1,1,280841,164207,310268,166581,1515032,91518,154,33,28,0.006351460099,0.81029586,19.631645
14,harfbuzz,harfbuzz,4,1,1,1,1,197926,131168,689819,415002,2200539,446005,110,10,6,0.006290414248,0.80250786,20.434153
15,libxcb,libxcb,3,1,1,1,0,279269,173787,3025479,1535316,937994,1300,30,10,0,0.00606829562,0.77417078,21.208324
16,protobuf,protobuf,4,1,1,1,1,96239,54428,190778,62219,1021978,471050,49,30,25,0.005649458946,0.72073715,21.929061
17,gmp,gmp,4,1,1,1,1,280114,224762,335632,227304,1633341,53737,179,15,17,0.005631931838,0.7185011,22.647562
