library_request,priority,status,resolution_lane,requested_routes,first_requested_utc,last_requested_utc,request_count,candidate_version,candidate_source_url,candidate_sha256,notes
harfbuzz,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,14.4.0,https://github.com/harfbuzz/harfbuzz/releases/download/14.4.0/harfbuzz-14.4.0.tar.xz,2357ed966c6ced7bfa720b0640c0231065af01158fbea215093ffa15aed44371,C20 rank 11; fixed adapter and route canaries required
freetype,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,2.14.3,https://sourceforge.net/projects/freetype/files/freetype2/2.14.3/freetype-2.14.3.tar.xz/download,36bc4f1cc413335368ee656c42afca65c5a3987e8768cc28cf11ba775e785a5f,C20 rank 12; fixed adapter and route canaries required
glib,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,2.88.3,https://download.gnome.org/sources/glib/2.88/glib-2.88.3.tar.xz,ab24d24e698dfa1e408b7bcdb508f4aafc906185a8b8ce72fdf79bbbdc9b383b,C20 rank 13; dependency closure and route canaries required
expat,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,2.8.2,https://github.com/libexpat/libexpat/releases/download/R_2_8_2/expat-2.8.2.tar.xz,3ad89b8588e6644bd4e49981480d48b21289eebbcd4f0a1a4afb1c29f99b6ab4,C20 rank 14; fixed adapter and route canaries required
brotli,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,1.2.0,https://github.com/google/brotli/archive/refs/tags/v1.2.0.tar.gz,816c96e8e8f193b40151dad7e8ff37b1221d019dbcb9c35cd3fadbfe6477dfec,C20 rank 15; fixed adapter and route canaries required
libjpeg-turbo,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,3.2.0,https://github.com/libjpeg-turbo/libjpeg-turbo/releases/download/3.2.0/libjpeg-turbo-3.2.0.tar.gz,6f30092cef9fb839779646608f4ee14ae3cbac989c47fa05e841b0841f09878e,C20 rank 16; fixed adapter and route canaries required
libunistring,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,1.4.2,https://ftp.gnu.org/gnu/libunistring/libunistring-1.4.2.tar.xz,5b46e74377ed7409c5b75e7a96f95377b095623b689d8522620927964a41499c,C20 rank 17; fixed adapter and route canaries required
bzip2,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,1.0.8,https://sourceware.org/pub/bzip2/bzip2-1.0.8.tar.gz,ab5a03176ee106d3f0fa90e381da478ddae405918153cca248e682cd0c4a2269,C20 rank 18; update fixed adapter recipe and rerun route canaries
libtiff,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,4.7.2,https://download.osgeo.org/libtiff/tiff-4.7.2.tar.xz,4996f0c4f93094719b1ca5c6279b20e588773ba8a247533e486416fb662ddb88,C20 rank 19; dependency closure and route canaries required
libpng,0,pending,recipe_authoring,,2026-09-04T14:17:45Z,2026-09-04T14:17:45Z,1,1.6.58,https://sourceforge.net/projects/libpng/files/libpng16/1.6.58/libpng-1.6.58.tar.xz/download,28eb403f51f0f7405249132cecfe82ea5c0ef97f1b32c5a65828814ae0d34775,C20 rank 20; zlib dependency closure and route canaries required
